,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Ground Roll [ft],AOA [deg]
982,4.91,955.610679137369,412.3740434873527,12.44249794468008,124829.93033976483,2549.864452745994,99.95427116425807,30.89462311976727,0.0,0.020691742849700278,2700,606.228366380277,0.0
983,4.915,955.5754888205457,413.2312776041278,12.466149856423346,124829.93033976483,2549.864318496404,99.95422454974661,30.92668377463555,0.0,0.020734540721258434,2700,606.228366380277,0.0
984,4.92,955.5401093475124,414.08937770566376,12.489821538927705,124829.93033976483,2549.8641842468132,99.95417793523515,30.95874352339061,0.0,0.020777383124610155,2700,606.228366380277,0.0
985,4.925,955.5045407415244,414.948343542341,12.513512982130035,124829.93033976483,2549.8640499972225,99.95413132072369,30.990802359516262,0.0,0.02082027005851958,2700,606.228366380277,0.0
986,4.93,955.4687830259896,415.8081748638413,12.537224175966504,124829.93033976483,2549.8639157476323,99.95408470621223,31.022860276497187,0.0,0.020863201521741797,2700,606.228366380277,0.0
987,4.9350000000000005,955.4328362244702,416.6688714191485,12.560955110350116,124829.93033976483,2549.8637814980416,99.95403809170078,31.054917267818922,0.0,0.02090617751302284,2700,606.228366380277,0.0
988,4.94,955.3967003606803,417.53043295654817,12.584705775196719,124829.93033976483,2549.8636472484513,99.95399147718932,31.086973326967883,0.0,0.020949198031099694,2700,606.228366380277,0.0
989,4.945,955.3603754584882,418.39285922362865,12.608476160398157,124829.93033976483,2549.8635129988606,99.95394486267786,31.119028447431354,0.0,0.02099226307470029,2700,606.228366380277,0.0
990,4.95,955.3238615419142,419.25614996728063,12.632266255838976,124829.93033976483,2549.86337874927,99.9538982481664,31.15108262269752,0.0,0.02103537264254352,2700,606.228366380277,0.0
991,4.955,955.2871586351321,420.12030493369843,12.656076051399655,124829.93033976483,2549.8632444996797,99.95385163365493,31.18313584625545,0.0,0.02107852673333922,2700,606.228366380277,0.0
992,4.96,955.2502667624688,420.98532386837934,12.6799055369374,124829.93033976483,2549.863110250089,99.95380501914349,31.2151881115951,0.0,0.02112172534578818,2700,606.228366380277,0.0
993,4.965,955.2131859484033,421.8512065161243,12.703754702308238,124829.93033976483,2549.8629760004983,99.95375840463203,31.247239412207325,0.0,0.021164968478582156,2700,606.228366380277,0.0
994,4.97,955.1759162175688,422.71795262103836,12.7276235373512,124829.93033976483,2549.862841750908,99.95371179012056,31.27928974158389,0.0,0.021208256130403846,2700,606.228366380277,0.0
995,4.9750000000000005,955.1384575947496,423.58556192653094,12.751512031893368,124829.93033976483,2549.8627075013173,99.9536651756091,31.311339093217466,0.0,0.02125158829992691,2700,606.228366380277,0.0
996,4.98,955.1008101048843,424.45403417531577,12.775420175762921,124829.93033976483,2549.8625732517266,99.95361856109764,31.343387460601644,0.0,0.021294964985815974,2700,606.228366380277,0.0
997,4.985,955.0629737730629,425.32336910941217,12.799347958756924,124829.93033976483,2549.8624390021364,99.95357194658618,31.375434837230923,0.0,0.02133838618672662,2700,606.228366380277,0.0
998,4.99,955.0249486245294,426.1935664701441,12.823295370678586,124829.93033976483,2549.8623047525457,99.95352533207472,31.40748121660074,0.0,0.021381851901305385,2700,606.228366380277,0.0
999,4.995,954.9867346846792,427.06462599814137,12.847262401308729,124829.93033976483,2549.8621705029555,99.95347871756326,31.439526592207454,0.0,0.021425362128189778,2700,606.228366380277,0.0
1000,5.0,954.9483319790608,427.9365474333399,12.871249040425708,124829.93033976483,2549.8620362533647,99.9534321030518,31.471570957548355,0.0,0.021468916866008266,2700,606.228366380277,0.0
1001,5.005,954.9097405333752,428.8093305149813,12.895255277787893,124829.93033976483,2549.861902003774,99.95338548854035,31.503614306121683,0.0,0.021512516113380283,2700,606.228366380277,0.0
1002,5.01,954.8709603734759,429.6829749816144,12.919281103151047,124829.93033976483,2549.861767754184,99.95333887402889,31.53565663142661,0.0,0.021556159868916236,2700,606.228366380277,0.0
1003,5.015,954.8319915253691,430.5574805710941,12.943326506255206,124829.93033976483,2549.861633504593,99.95329225951743,31.567697926963262,0.0,0.021599848131217486,2700,606.228366380277,0.0
1004,5.0200000000000005,954.7928340152127,431.4328470205835,12.967391476823037,124829.93033976483,2549.8614992550024,99.95324564500596,31.599738186232738,0.0,0.02164358089887637,2700,606.228366380277,0.0
1005,5.025,954.7534878693176,432.30907406655274,12.991476004584106,124829.93033976483,2549.861365005412,99.9531990304945,31.63177740273707,0.0,0.021687358170476206,2700,606.228366380277,0.0
1006,5.03,954.7139531141465,433.18616144477966,13.015580079237576,124829.93033976483,2549.8612307558215,99.95315241598306,31.663815569979278,0.0,0.021731179944591266,2700,606.228366380277,0.0
1007,5.035,954.6742297763147,434.0641088903506,13.039703690485085,124829.93033976483,2549.861096506231,99.9531058014716,31.69585268146332,0.0,0.021775046219786803,2700,606.228366380277,0.0
1008,5.04,954.6343178825897,434.94291613766023,13.063846828006234,124829.93033976483,2549.8609622566405,99.95305918696012,31.727888730694172,0.0,0.021818956994619047,2700,606.228366380277,0.0
1009,5.045,954.5942174598907,435.82258292041234,13.088009481477103,124829.93033976483,2549.86082800705,99.95301257244866,31.759923711177755,0.0,0.0218629122676352,2700,606.228366380277,0.0
1010,5.05,954.5539285352894,436.7031089716197,13.112191640564571,124829.93033976483,2549.8606937574596,99.9529659579372,31.791957616420998,0.0,0.021906912037373445,2700,606.228366380277,0.0
1011,5.055,954.5134511360097,437.58449402360463,13.136393294914543,124829.93033976483,2549.860559507869,99.95291934342575,31.82399043993181,0.0,0.021950956302362937,2700,606.228366380277,0.0
1012,5.0600000000000005,954.4727852894273,438.4667378079997,13.160614434169512,124829.93033976483,2549.8604252582786,99.95287272891429,31.856022175219092,0.0,0.021995045061123823,2700,606.228366380277,0.0
