,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],AOA [deg]
20,721.915,696.8775706289856,2526.64797791078,173.15784755280802,121067.11044982381,2534.0327947950404,94.51847663917899,75.95740759346019,750.2968331284177,16.370745251417905,2698.1000000000017,0.5983388911744565
21,721.925,696.3085670411787,2526.761800245448,173.11181746839574,121031.10736834082,2534.0327947950404,94.51838545799312,75.99692386078634,750.2968331284177,16.3709559693145,2698.000000000002,0.589489798533501
22,721.935,695.7398917766016,2526.8751842548018,173.06600741087163,120995.1097529121,2534.0327947950404,94.5182942797404,76.03640070749003,750.2968331284177,16.371166797252346,2697.900000000002,0.580661972241836
23,721.9449999999999,695.1718242497928,2526.98812863613,173.0204165952912,120959.11760908413,2534.0327947950404,94.51820310442065,76.07583814914241,750.2968331284177,16.371377735121886,2697.800000000002,0.5718553411133183
24,721.9549999999999,694.6047356278949,2527.100631457572,172.97504403096767,120923.13094239938,2534.0327947950404,94.51811193203369,76.11523618515801,750.2968331284177,16.371588782813607,2697.700000000002,0.5630698299875042
25,721.9649999999999,694.0386254427146,2527.2126947111806,172.92988855340593,120887.14975839766,2534.0327947950404,94.51802076257935,76.154594818109,750.2968331284177,16.371799940217958,2697.600000000002,0.5543053814894492
26,721.9749999999999,693.4734913052447,2527.324320186209,172.88494945346233,120851.17406261482,2534.0327947950404,94.51792959605748,76.19391410406107,750.2968331284177,16.372011207225498,2697.5000000000023,0.5455619370328609
27,721.9849999999999,692.9093303480352,2527.435509684994,172.8402262247795,120815.20386058398,2534.0327947950404,94.5178384324679,76.2331940992263,750.2968331284177,16.372222583726813,2697.4000000000024,0.5368394259269853
28,721.9949999999999,692.3461397128775,2527.5462651505395,172.7957180553691,120779.23915783437,2534.0327947950404,94.51774727181042,76.27243485980915,750.2968331284177,16.372434069612382,2697.3000000000025,0.5281377782463852
29,722.0049999999999,691.7839165521674,2527.656588509897,172.75142414893006,120743.27995989239,2534.0327947950404,94.51765611408489,76.31163644186964,750.2968331284177,16.372645664772822,2697.2000000000025,0.5194569243171041
30,722.0149999999999,691.2226580300905,2527.766481680171,172.70734371165102,120707.32627228065,2534.0327947950404,94.51756495929115,76.35079890132347,750.2968331284177,16.372857369098917,2697.1000000000026,0.5107967947677619
