,Time [s],Thrust [lb],Lift [lb],Drag [lb],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min]
9768,140.455,275.5178008241754,2578.6075868150865,263.73317542835775,2548.691520295197,98.85765133482498,142.93043710409546,750.5730851973453,4.210325437753837,2306.0
9769,140.465,275.5163342633324,2578.6075321679104,263.7351270811138,2548.691520295197,98.85757466676368,142.93119765600864,750.5730851973453,4.210722461461038,2306.0
9770,140.475,275.51486821198347,2578.607477538048,263.7370780921019,2548.691520295197,98.85749799870237,142.93195795179312,750.5730851973453,4.211119487282664,2306.0
9771,140.485,275.51340266994606,2578.607422925494,263.73902846192016,2548.691520295197,98.85742133064106,142.93271799153513,750.5730851973453,4.211516515218001,2306.0
9772,140.495,275.5119376370381,2578.6073683302434,263.74097819078133,2548.691520295197,98.85734466257976,142.93347777532088,750.5730851973453,4.211913545266339,2306.0
9773,140.505,275.5104731130773,2578.6073137522917,263.7429272786664,2548.691520295197,98.85726799451845,142.93423730323659,750.5730851973453,4.2123105774269645,2306.0
9774,140.51500000000001,275.5090090978816,2578.607259191633,263.7448757252674,2548.691520295197,98.85719132645714,142.93499657536833,750.5730851973453,4.212707611699167,2306.0
9775,140.525,275.507545591269,2578.6072046482627,263.746823531661,2548.691520295197,98.85711465839583,142.93575559180226,750.5730851973453,4.213104648082235,2306.0
9776,140.535,275.5060825930576,2578.607150122176,263.74877069806007,2548.691520295197,98.85703799033453,142.93651435262447,750.5730851973453,4.2135016865754595,2306.0
9777,140.545,275.50462010306546,2578.607095613367,263.75071722439765,2548.691520295197,98.85696132227322,142.9372728579211,750.5730851973453,4.213898727178128,2306.0
9778,140.555,275.5031581211107,2578.6070411218316,263.7526631108149,2548.691520295197,98.85688465421191,142.93803110777807,750.5730851973453,4.214295769889531,2306.0
9779,140.565,275.5016966470115,2578.6069866475646,263.7546083571057,2548.691520295197,98.85680798615061,142.93878910228145,750.5730851973453,4.2146928147089575,2306.0
9780,140.575,275.5002356805864,2578.6069321905607,263.75655296456006,2548.691520295197,98.8567313180893,142.9395468415171,750.5730851973453,4.215089861635699,2306.0
9781,140.585,275.4987752216538,2578.606877750815,263.75849693213894,2548.691520295197,98.85665465002799,142.94030432557122,750.5730851973453,4.215486910669044,2306.0
