Xfoil polar. Reynolds number fixed. Mach  number fixed,,,,,,
Polar key,xf-naca652415-il-500000,,,,,
-4.75,-0.176,0.0116,0.00451,-0.077,0.785,0.0474
-4.5,-0.1501,0.01132,0.00417,-0.0769,0.7804,0.0523
-4.25,-0.1249,0.01094,0.00385,-0.0767,0.7751,0.0641
-4,-0.1032,0.00998,0.00337,-0.0765,0.7702,0.1733
-3.75,-0.0848,0.00834,0.00276,-0.0764,0.766,0.4391
-3.5,-0.0591,0.00796,0.00274,-0.0763,0.7614,0.5507
-3.25,-0.031,0.00792,0.00273,-0.0765,0.7568,0.5845
-3,-0.0026,0.00793,0.00272,-0.0766,0.7526,0.6036
-2.75,0.0261,0.00798,0.00271,-0.0768,0.7487,0.6184
-2.5,0.0546,0.00801,0.00274,-0.077,0.7443,0.633
-2.25,0.0824,0.00813,0.0029,-0.0769,0.7402,0.6548
-2,0.1102,0.00831,0.00309,-0.0767,0.7366,0.6734
-1.75,0.1389,0.0084,0.00313,-0.0769,0.7328,0.6828
-1.5,0.1673,0.00839,0.00313,-0.0771,0.7287,0.6867
-1.25,0.1961,0.00839,0.00311,-0.0774,0.7247,0.6906
-1,0.2253,0.00841,0.00307,-0.0778,0.7213,0.6944
-0.75,0.2546,0.00846,0.00304,-0.0782,0.7181,0.698
-0.5,0.2829,0.00843,0.00306,-0.0784,0.7143,0.7012
-0.25,0.3116,0.00844,0.00307,-0.0787,0.7104,0.7046
0,0.3406,0.00847,0.00307,-0.0791,0.7069,0.7086
0.25,0.37,0.00853,0.00307,-0.0795,0.7039,0.7125
0.5,0.3986,0.00854,0.00311,-0.0798,0.7006,0.7158
0.75,0.4269,0.00855,0.00316,-0.0801,0.6968,0.7193
1,0.4556,0.00858,0.0032,-0.0804,0.6933,0.7233
1.25,0.4847,0.00863,0.00324,-0.0808,0.6902,0.7276
1.5,0.514,0.00871,0.00329,-0.0812,0.6871,0.7313
1.75,0.5419,0.00872,0.00338,-0.0814,0.6837,0.7348
2,0.5702,0.00876,0.00347,-0.0816,0.6801,0.7391
2.25,0.5991,0.00882,0.00354,-0.0819,0.6766,0.7438
2.5,0.6279,0.00886,0.00359,-0.0823,0.6732,0.7479
2.75,0.6558,0.00891,0.0037,-0.0824,0.6687,0.7518
3,0.6834,0.00892,0.00376,-0.0824,0.6631,0.7563
3.25,0.712,0.00895,0.00379,-0.0827,0.658,0.7613
3.5,0.7389,0.00895,0.00385,-0.0825,0.6507,0.7658
3.75,0.7657,0.00892,0.00381,-0.0823,0.6405,0.7705
4,0.791,0.00886,0.00377,-0.0818,0.6266,0.7758
4.25,0.8162,0.00883,0.00377,-0.0813,0.6114,0.7807
4.5,0.8416,0.00885,0.00385,-0.0808,0.5984,0.7855
4.75,0.8675,0.00892,0.00395,-0.0805,0.5855,0.7914
5,0.8926,0.00899,0.00404,-0.0801,0.5693,0.797
5.25,0.9157,0.00912,0.00417,-0.0792,0.5472,0.8024
5.5,0.9371,0.00935,0.00432,-0.0781,0.5104,0.8088
5.75,0.9485,0.01001,0.00466,-0.0752,0.4332,0.8149
6,0.9492,0.0113,0.00541,-0.0707,0.3284,0.8224
6.25,0.95,0.01255,0.00621,-0.0664,0.2372,0.8302
6.5,0.9487,0.0137,0.00698,-0.0617,0.1604,0.8391
6.75,0.945,0.0148,0.00777,-0.0566,0.0987,0.8484
7,0.9463,0.01586,0.0086,-0.0526,0.0596,0.8589
7.25,0.9543,0.01658,0.00931,-0.0496,0.0466,0.8688
7.5,0.9631,0.01731,0.01006,-0.0468,0.0405,0.8798
7.75,0.9748,0.01791,0.01074,-0.0445,0.0372,0.8921
8,0.9811,0.01872,0.0116,-0.0414,0.0343,0.9072
8.25,0.9882,0.0194,0.0124,-0.0384,0.0326,0.9263
8.5,0.9981,0.01999,0.0131,-0.036,0.0311,0.9585
8.75,1.0154,0.02092,0.01405,-0.0357,0.0292,1
9,1.0239,0.02228,0.01543,-0.0342,0.0277,1
9.25,1.0368,0.02335,0.01655,-0.0331,0.0268,1
9.5,1.0505,0.02436,0.01761,-0.0321,0.0259,1
9.75,1.0636,0.02543,0.01871,-0.031,0.0251,1
10,1.0757,0.02658,0.0199,-0.0299,0.0244,1
10.25,1.0873,0.02778,0.02112,-0.0288,0.0236,1
10.5,1.0965,0.02922,0.02257,-0.0275,0.0229,1
10.75,1.1044,0.03091,0.0243,-0.026,0.0224,1
11,1.1179,0.03215,0.0256,-0.025,0.022,1
11.25,1.1323,0.03329,0.02682,-0.0242,0.0216,1
11.5,1.1468,0.03446,0.02806,-0.0235,0.0211,1
11.75,1.1613,0.03567,0.02934,-0.0227,0.0206,1
12,1.1754,0.0369,0.03062,-0.022,0.0201,1
12.25,1.1888,0.03818,0.03195,-0.0213,0.0196,1
12.5,1.2028,0.03952,0.03335,-0.0207,0.0192,1
12.75,1.217,0.04091,0.03479,-0.0201,0.0189,1
13,1.2321,0.04236,0.03627,-0.0195,0.0185,1
13.25,1.2528,0.044,0.03797,-0.0191,0.0182,1
13.5,1.2697,0.04623,0.04037,-0.0186,0.0178,1
13.75,1.2768,0.04823,0.04253,-0.0178,0.0177,1
14,1.2831,0.0505,0.04499,-0.017,0.0176,1
14.25,1.2859,0.05297,0.04764,-0.0162,0.0174,1
14.5,1.2873,0.05573,0.05059,-0.0155,0.0173,1
14.75,1.2854,0.0588,0.05388,-0.0149,0.0172,1
15,1.2816,0.06201,0.05728,-0.0146,0.017,1
15.25,1.2748,0.06582,0.0613,-0.0144,0.0168,1
15.5,1.2665,0.06985,0.06554,-0.0145,0.0167,1
15.75,1.2551,0.07439,0.07029,-0.015,0.0166,1
16,1.2404,0.07963,0.07575,-0.0159,0.0165,1
16.25,1.2221,0.08568,0.08204,-0.0174,0.0165,1
16.5,1.2015,0.09234,0.08893,-0.0197,0.0166,1
16.75,1.1783,0.09984,0.09665,-0.0227,0.0167,1
17,1.1536,0.10811,0.10514,-0.0268,0.0168,1
17.25,1.1263,0.1175,0.11474,-0.032,0.0169,1
17.5,1.0974,0.12803,0.12547,-0.0384,0.017,1
17.75,1.0663,0.14011,0.13773,-0.0462,0.0173,1
18,1.031,0.15454,0.15231,-0.0558,0.0176,1
