,Time [s],Thrust [lb],Lift [lb],Drag [lb],Power [hp],Weight [lb],Percent [%],Velocity [knots],Altitude [ft],Range [nmi],RPM [rev/min],Pitch [deg],AOA [deg]
5546,968.0300000000001,20.134990709786976,2534.8563558939295,174.61160221776973,3429.349703183251,2537.0655493087897,94.17309684855655,74.45986820230542,354.2924273077666,21.902938645411062,588,-3.00013431832968,-3.610425614761302
5547,968.0400000000001,20.13559688751842,2534.8562591037617,174.6091960181793,3429.374316477586,2537.0655493087897,94.17305068788616,74.45823124367762,354.226646562867,21.903145206250507,588,-3.000134340526616,-3.610040981306472
5548,968.0500000000001,20.13620304381432,2534.856162314774,174.60679060888907,3429.3989292671054,2537.0655493087897,94.17300452756866,74.45659451240945,354.16086726422617,21.903351762547494,588,-3.000134362722962,-3.6096563783762643
5549,968.0600000000001,20.13680917867494,2534.8560655269653,174.60438598974588,3429.423541551884,2537.0655493087897,94.17295836760408,74.45495800843975,354.0950894116431,21.903558314302654,588,-3.000134384918718,-3.6092718059641937
5550,968.07,20.137415292100535,2534.855968740335,174.6019821603992,3429.448153331993,2537.0655493087897,94.17291220799233,74.45332173170732,354.0293130049168,21.903764861516617,588,-3.0001344071138836,-3.6088872640637693
5551,968.08,20.13802138409129,2534.8558719548814,174.5995791207285,3429.472764607502,2537.0655493087897,94.1728660487334,74.45168568215104,353.96353804384637,21.903971404190017,588,-3.000134429308459,-3.608502752668504
5552,968.09,20.138627454647548,2534.8557751706053,174.5971768703587,3429.497375378493,2537.0655493087897,94.1728198898273,74.45004985970982,353.89776452823105,21.904177942323486,588,-3.0001344515024453,-3.608118271771913
5553,968.1,20.13923350376951,2534.855678387505,174.59477540902293,3429.5219856450362,2537.0655493087897,94.172773731274,74.44841426432254,353.8319924578701,21.904384475917652,588,-3.0001344736958417,-3.6077338213674968
5554,968.11,20.1398395314574,2534.8555816055787,174.5923747365538,3429.5465954071956,2537.0655493087897,94.17272757307347,74.4467788959281,353.7662218325627,21.904591004973142,588,-3.000134495888649,-3.607349401448786
5555,968.12,20.1404455377115,2534.8554848248273,174.5899748526419,3429.5712046650547,2537.0655493087897,94.17268141522571,74.44514375446549,353.70045265210814,21.904797529490594,588,-3.000134518080867,-3.6069650120092778
5556,968.1300000000001,20.141051522532056,2534.8553880452487,174.58757575704482,3429.595813418676,2537.0655493087897,94.17263525773068,74.44350883987363,353.63468491630584,21.905004049470634,588,-3.0001345402724957,-3.606580653042497
5557,968.1400000000001,20.141657485919342,2534.8552912668424,174.5851774495257,3429.6204216681426,2537.0655493087897,94.17258910058837,74.4418741520915,353.5689186249553,21.90521056491389,588,-3.0001345624635363,-3.606196324541969
